1024 1024
(x=27, y=475); kind: conductor;
(x=259, y=475); kind: conductor;
(x=81, y=475); kind: conductor;
(x=38, y=475); kind: conductor;
(x=407, y=755); kind: conductor;
(x=359, y=475); kind: conductor;
(x=71, y=475); kind: conductor;
(x=407, y=971); kind: conductor;
(x=407, y=1007); kind: conductor;
(x=332, y=475); kind: conductor;
(x=407, y=691); kind: conductor;
(x=407, y=796); kind: conductor;
(x=407, y=847); kind: conductor;
(x=217, y=475); kind: conductor;
(x=407, y=773); kind: conductor;
(x=407, y=950); kind: conductor;
(x=91, y=475); kind: conductor;
(x=407, y=829); kind: conductor;
(x=407, y=909); kind: conductor;
(x=94, y=475); kind: conductor;
(x=447, y=584); kind: bud;
(x=407, y=948); kind: conductor;
(x=407, y=995); kind: conductor;
(x=304, y=475); kind: conductor;
(x=407, y=650); kind: conductor;
(x=275, y=475); kind: conductor;
(x=140, y=475); kind: conductor;
(x=407, y=911); kind: conductor;
(x=3, y=475); kind: conductor;
(x=407, y=731); kind: conductor;
(x=194, y=475); kind: conductor;
(x=407, y=912); kind: conductor;
(x=100, y=475); kind: conductor;
(x=407, y=862); kind: conductor;
(x=407, y=861); kind: conductor;
(x=407, y=959); kind: conductor;
(x=407, y=980); kind: conductor;
(x=407, y=772); kind: conductor;
(x=282, y=475); kind: conductor;
(x=156, y=475); kind: conductor;
(x=407, y=757); kind: conductor;
(x=407, y=710); kind: conductor;
(x=407, y=858); kind: conductor;
(x=203, y=475); kind: conductor;
(x=407, y=869); kind: conductor;
(x=407, y=953); kind: conductor;
(x=17, y=475); kind: conductor;
(x=407, y=685); kind: conductor;
(x=407, y=918); kind: conductor;
(x=407, y=683); kind: conductor;
(x=165, y=475); kind: conductor;
(x=407, y=905); kind: conductor;
(x=407, y=993); kind: conductor;
(x=407, y=649); kind: conductor;
(x=136, y=475); kind: conductor;
(x=299, y=475); kind: conductor;
(x=310, y=475); kind: conductor;
(x=143, y=475); kind: conductor;
(x=407, y=1012); kind: conductor;
(x=158, y=475); kind: conductor;
(x=407, y=698); kind: conductor;
(x=407, y=910); kind: conductor;
(x=225, y=475); kind: conductor;
(x=354, y=475); kind: conductor;
(x=331, y=475); kind: conductor;
(x=407, y=782); kind: conductor;
(x=407, y=627); kind: conductor;
(x=407, y=812); kind: conductor;
(x=36, y=475); kind: conductor;
(x=407, y=985); kind: conductor;
(x=407, y=826); kind: conductor;
(x=407, y=817); kind: conductor;
(x=407, y=689); kind: conductor;
(x=224, y=475); kind: conductor;
(x=407, y=855); kind: conductor;
(x=127, y=475); kind: conductor;
(x=97, y=475); kind: conductor;
(x=407, y=906); kind: conductor;
(x=15, y=475); kind: conductor;
(x=407, y=997); kind: conductor;
(x=407, y=822); kind: conductor;
(x=407, y=900); kind: conductor;
(x=407, y=915); kind: conductor;
(x=74, y=475); kind: conductor;
(x=333, y=475); kind: conductor;
(x=407, y=976); kind: conductor;
(x=407, y=652); kind: conductor;
(x=46, y=475); kind: conductor;
(x=245, y=475); kind: conductor;
(x=407, y=988); kind: conductor;
(x=183, y=475); kind: conductor;
(x=407, y=727); kind: conductor;
(x=407, y=626); kind: conductor;
(x=271, y=475); kind: conductor;
(x=407, y=867); kind: conductor;
(x=407, y=760); kind: conductor;
(x=190, y=475); kind: conductor;
(x=407, y=930); kind: conductor;
(x=288, y=475); kind: conductor;
(x=407, y=996); kind: conductor;
(x=407, y=736); kind: conductor;
(x=230, y=475); kind: conductor;
(x=407, y=1001); kind: conductor;
(x=319, y=523); kind: bud;
(x=242, y=475); kind: conductor;
(x=58, y=475); kind: conductor;
(x=407, y=949); kind: conductor;
(x=174, y=475); kind: conductor;
(x=167, y=475); kind: conductor;
(x=407, y=961); kind: conductor;
(x=407, y=623); kind: conductor;
(x=336, y=475); kind: conductor;
(x=407, y=889); kind: conductor;
(x=262, y=475); kind: conductor;
(x=207, y=475); kind: conductor;
(x=407, y=803); kind: conductor;
(x=407, y=662); kind: conductor;
(x=239, y=475); kind: conductor;
(x=148, y=475); kind: conductor;
(x=407, y=661); kind: conductor;
(x=407, y=702); kind: conductor;
(x=407, y=885); kind: conductor;
(x=114, y=475); kind: conductor;
(x=104, y=475); kind: conductor;
(x=319, y=524); kind: producer;
(x=538, y=347); kind: bud;
(x=407, y=716); kind: conductor;
(x=227, y=475); kind: conductor;
(x=96, y=475); kind: conductor;
(x=407, y=711); kind: conductor;
(x=85, y=475); kind: conductor;
(x=78, y=475); kind: conductor;
(x=307, y=475); kind: conductor;
(x=168, y=475); kind: conductor;
(x=407, y=841); kind: conductor;
(x=123, y=475); kind: conductor;
(x=407, y=938); kind: conductor;
(x=324, y=475); kind: conductor;
(x=13, y=475); kind: conductor;
(x=344, y=475); kind: conductor;
(x=302, y=475); kind: conductor;
(x=407, y=931); kind: conductor;
(x=356, y=475); kind: conductor;
(x=407, y=670); kind: conductor;
(x=407, y=842); kind: conductor;
(x=407, y=851); kind: conductor;
(x=117, y=475); kind: conductor;
(x=407, y=837); kind: conductor;
(x=407, y=898); kind: conductor;
(x=209, y=475); kind: conductor;
(x=293, y=475); kind: conductor;
(x=319, y=475); kind: conductor;
(x=146, y=475); kind: conductor;
(x=407, y=893); kind: conductor;
(x=343, y=475); kind: conductor;
(x=63, y=475); kind: conductor;
(x=317, y=475); kind: conductor;
(x=312, y=475); kind: conductor;
(x=407, y=631); kind: conductor;
(x=407, y=745); kind: conductor;
(x=407, y=690); kind: conductor;
(x=231, y=475); kind: conductor;
(x=407, y=700); kind: conductor;
(x=305, y=475); kind: conductor;
(x=407, y=848); kind: conductor;
(x=407, y=686); kind: conductor;
(x=57, y=475); kind: conductor;
(x=101, y=475); kind: conductor;
(x=407, y=780); kind: conductor;
(x=407, y=1016); kind: conductor;
(x=255, y=475); kind: conductor;
(x=23, y=475); kind: conductor;
(x=337, y=475); kind: conductor;
(x=407, y=729); kind: conductor;
(x=407, y=868); kind: conductor;
